"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"ZI000067853","1962-11-21","-18.633","27.0","1077.0","HWANGE NATIONAL PAR, ZI","    0",",,Q","  302",",,Q","  183",",,Q"
"ZI000067853","1962-11-22","-18.633","27.0","1077.0","HWANGE NATIONAL PAR, ZI","    0",",,Q","  256",",,Q","  201",",,Q"
"ZI000067853","1962-11-23","-18.633","27.0","1077.0","HWANGE NATIONAL PAR, ZI","   69",",,Q","  298",",,Q","  187",",,Q"
"ZI000067853","1962-11-24","-18.633","27.0","1077.0","HWANGE NATIONAL PAR, ZI","    0",",,Q","  284",",,Q","  190",",,Q"
"ZI000067853","1962-11-25","-18.633","27.0","1077.0","HWANGE NATIONAL PAR, ZI","    0",",,Q","  303",",,Q","  194",",,Q"
"ZI000067853","1962-11-26","-18.633","27.0","1077.0","HWANGE NATIONAL PAR, ZI","    0",",,Q","  286",",,Q","  199",",,Q"
"ZI000067853","1962-11-27","-18.633","27.0","1077.0","HWANGE NATIONAL PAR, ZI","    0",",,Q","  311",",,Q","  188",",,Q"
"ZI000067853","1962-11-28","-18.633","27.0","1077.0","HWANGE NATIONAL PAR, ZI","   18",",,Q","  312",",,Q","  182",",,Q"
"ZI000067853","1962-11-29","-18.633","27.0","1077.0","HWANGE NATIONAL PAR, ZI","   76",",,Q","  287",",,Q","  192",",,Q"
"ZI000067853","1962-11-30","-18.633","27.0","1077.0","HWANGE NATIONAL PAR, ZI","   20",",,Q","  274",",,Q","  199",",,Q"
"ZI000067853","1962-12-01","-18.633","27.0","1077.0","HWANGE NATIONAL PAR, ZI","    0",",,Q","  293",",,Q","  177",",,Q"
"ZI000067853","1962-12-02","-18.633","27.0","1077.0","HWANGE NATIONAL PAR, ZI","    0",",,Q","  301",",,Q","  168",",,Q"
"ZI000067853","1962-12-03","-18.633","27.0","1077.0","HWANGE NATIONAL PAR, ZI","    0",",,Q","  291",",,Q","  186",",,Q"
"ZI000067853","1962-12-04","-18.633","27.0","1077.0","HWANGE NATIONAL PAR, ZI","  137",",,Q","  236",",,Q","  192",",,Q"
"ZI000067853","1962-12-05","-18.633","27.0","1077.0","HWANGE NATIONAL PAR, ZI","   46",",,Q","  242",",,Q","  190",",,Q"
"ZI000067853","1962-12-06","-18.633","27.0","1077.0","HWANGE NATIONAL PAR, ZI","    5",",,Q","  270",",,Q","  179",",,Q"
"ZI000067853","1962-12-07","-18.633","27.0","1077.0","HWANGE NATIONAL PAR, ZI","   46",",,Q","  264",",,Q","  186",",,Q"
"ZI000067853","1962-12-08","-18.633","27.0","1077.0","HWANGE NATIONAL PAR, ZI","    5",",,Q","  293",",,Q","  192",",,Q"
"ZI000067853","1962-12-09","-18.633","27.0","1077.0","HWANGE NATIONAL PAR, ZI","    0",",,Q","  245",",,Q","  191",",,Q"
"ZI000067853","1962-12-10","-18.633","27.0","1077.0","HWANGE NATIONAL PAR, ZI","    0",",,Q","  270",",,Q","  179",",,Q"
"ZI000067853","1962-12-11","-18.633","27.0","1077.0","HWANGE NATIONAL PAR, ZI","   97",",,Q","  269",",,Q","  165",",,Q"
"ZI000067853","1962-12-12","-18.633","27.0","1077.0","HWANGE NATIONAL PAR, ZI","   81",",,Q","  238",",,Q","  192",",,Q"
"ZI000067853","1962-12-13","-18.633","27.0","1077.0","HWANGE NATIONAL PAR, ZI","   33",",,Q","  247",",,Q","  194",",,Q"
"ZI000067853","1962-12-14","-18.633","27.0","1077.0","HWANGE NATIONAL PAR, ZI","    0",",,Q","  276",",,Q","  174",",,Q"
"ZI000067853","1962-12-15","-18.633","27.0","1077.0","HWANGE NATIONAL PAR, ZI","   15",",,Q","  278",",,Q","  183",",,Q"
"ZI000067853","1962-12-16","-18.633","27.0","1077.0","HWANGE NATIONAL PAR, ZI","   33",",,Q","  283",",,Q","  193",",,Q"
"ZI000067853","1962-12-17","-18.633","27.0","1077.0","HWANGE NATIONAL PAR, ZI","   23",",,Q","  276",",,Q","  181",",,Q"
"ZI000067853","1962-12-18","-18.633","27.0","1077.0","HWANGE NATIONAL PAR, ZI","  356",",,Q","  241",",,Q","  192",",,Q"
"ZI000067853","1962-12-19","-18.633","27.0","1077.0","HWANGE NATIONAL PAR, ZI","   23",",,Q","  277",",,Q","  192",",,Q"
"ZI000067853","1962-12-20","-18.633","27.0","1077.0","HWANGE NATIONAL PAR, ZI","    0",",,Q","  277",",,Q","  179",",,Q"
"ZI000067853","1962-12-21","-18.633","27.0","1077.0","HWANGE NATIONAL PAR, ZI","    0",",,Q","  298",",,Q","  179",",,Q"
"ZI000067853","1962-12-22","-18.633","27.0","1077.0","HWANGE NATIONAL PAR, ZI","    0",",,Q","  291",",,Q","  178",",,Q"
"ZI000067853","1962-12-23","-18.633","27.0","1077.0","HWANGE NATIONAL PAR, ZI","   76",",,Q","  256",",,Q","  186",",,Q"
"ZI000067853","1962-12-24","-18.633","27.0","1077.0","HWANGE NATIONAL PAR, ZI","  152",",,Q","  257",",,Q","  186",",,Q"
"ZI000067853","1962-12-25","-18.633","27.0","1077.0","HWANGE NATIONAL PAR, ZI","  246",",,Q","  281",",,Q","  180",",,Q"
"ZI000067853","1962-12-26","-18.633","27.0","1077.0","HWANGE NATIONAL PAR, ZI","  198",",,Q","  255",",,Q","  182",",,Q"
"ZI000067853","1962-12-27","-18.633","27.0","1077.0","HWANGE NATIONAL PAR, ZI","  150",",,Q","  257",",,Q","  178",",,Q"
"ZI000067853","1962-12-28","-18.633","27.0","1077.0","HWANGE NATIONAL PAR, ZI","  663",",,Q","  253",",,Q","  191",",,Q"
"ZI000067853","1962-12-29","-18.633","27.0","1077.0","HWANGE NATIONAL PAR, ZI","  254",",,Q","  244",",,Q","  181",",,Q"
"ZI000067853","1962-12-30","-18.633","27.0","1077.0","HWANGE NATIONAL PAR, ZI","   81",",,Q","  212",",,Q","  188",",,Q"
"ZI000067853","1962-12-31","-18.633","27.0","1077.0","HWANGE NATIONAL PAR, ZI","  165",",,Q","  255",",,Q","  168",",,Q"
"ZI000067853","1963-01-01","-18.633","27.0","1077.0","HWANGE NATIONAL PAR, ZI","  229",",,Q","  257",",,Q","  176",",,Q"
"ZI000067853","1963-01-02","-18.633","27.0","1077.0","HWANGE NATIONAL PAR, ZI","    0",",,Q","  247",",,Q","  176",",,Q"
