"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES"
"ZI000067964","1962-10-16","-20.15","28.617","1344.0","BULAWAYO GOETZ OBS, ZI","    0",",,I","  356",",,I","  172",",,I","  291","H,,S"
"ZI000067964","1962-10-17","-20.15","28.617","1344.0","BULAWAYO GOETZ OBS, ZI","    0",",,I","  367",",,I","  172",",,I","  293","H,,S"
"ZI000067964","1962-10-18","-20.15","28.617","1344.0","BULAWAYO GOETZ OBS, ZI","    0",",,I","  367",",,I","  172",",,I","  297","H,,S"
"ZI000067964","1962-10-19","-20.15","28.617","1344.0","BULAWAYO GOETZ OBS, ZI",,,"  294",",,I","  161",",,I","  250","H,,S"
"ZI000067964","1962-10-20","-20.15","28.617","1344.0","BULAWAYO GOETZ OBS, ZI",,,"  267",",,I","  139",",,I","  193","H,,S"
"ZI000067964","1962-10-21","-20.15","28.617","1344.0","BULAWAYO GOETZ OBS, ZI",,,"  250",",,I","  133",",,I","  197","H,,S"
"ZI000067964","1962-10-22","-20.15","28.617","1344.0","BULAWAYO GOETZ OBS, ZI","    0",",,I","  289",",,I","  133",",,I","  229","H,,S"
"ZI000067964","1962-10-23","-20.15","28.617","1344.0","BULAWAYO GOETZ OBS, ZI","    0",",,I","  294",",,I","  144",",,I","  241","H,,S"
"ZI000067964","1962-10-24","-20.15","28.617","1344.0","BULAWAYO GOETZ OBS, ZI","    0",",,I","  317",",,I","  172",",,I","  258","H,,S"
"ZI000067964","1962-10-25","-20.15","28.617","1344.0","BULAWAYO GOETZ OBS, ZI","    0",",,I","  261",",,I","  150",",,I","  214","H,,S"
"ZI000067964","1962-10-26","-20.15","28.617","1344.0","BULAWAYO GOETZ OBS, ZI","    0",",,I","  278",",,I","  128",",,I","  218","H,,S"
"ZI000067964","1962-10-27","-20.15","28.617","1344.0","BULAWAYO GOETZ OBS, ZI","    0",",,I","  300",",,I","  122",",,I","  237","H,,S"
"ZI000067964","1962-10-28","-20.15","28.617","1344.0","BULAWAYO GOETZ OBS, ZI","    0",",,I","  322",",,I","  150",",,I","  260","H,,S"
"ZI000067964","1962-10-29","-20.15","28.617","1344.0","BULAWAYO GOETZ OBS, ZI","    0",",,I","  339",",,I","  172",",,I","  276","H,,S"
