"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"ZI000067865","1952-01-09","-18.933","29.833","1215.0","KWEKWE, ZI","  222",",,Q","  156",",,Q"
"ZI000067865","1952-01-10","-18.933","29.833","1215.0","KWEKWE, ZI","  209",",,Q","  174",",,Q"
"ZI000067865","1952-01-11","-18.933","29.833","1215.0","KWEKWE, ZI","  250",",,Q","  161",",,Q"
"ZI000067865","1952-01-12","-18.933","29.833","1215.0","KWEKWE, ZI","  269",",,Q","  132",",,Q"
"ZI000067865","1952-01-13","-18.933","29.833","1215.0","KWEKWE, ZI","  279",",,Q","  144",",,Q"
"ZI000067865","1952-01-14","-18.933","29.833","1215.0","KWEKWE, ZI","  279",",,Q","  147",",,Q"
"ZI000067865","1952-01-15","-18.933","29.833","1215.0","KWEKWE, ZI","  283",",,Q","  155",",,Q"
"ZI000067865","1952-01-16","-18.933","29.833","1215.0","KWEKWE, ZI","  293",",,Q","  179",",,Q"
"ZI000067865","1952-01-17","-18.933","29.833","1215.0","KWEKWE, ZI","  288",",,Q","  178",",,Q"
"ZI000067865","1952-01-18","-18.933","29.833","1215.0","KWEKWE, ZI","  290",",,Q","  172",",,Q"
"ZI000067865","1952-01-19","-18.933","29.833","1215.0","KWEKWE, ZI","  267",",,Q","  194",",,Q"
"ZI000067865","1952-01-20","-18.933","29.833","1215.0","KWEKWE, ZI","  269",",,Q","  188",",,Q"
"ZI000067865","1952-01-21","-18.933","29.833","1215.0","KWEKWE, ZI","  283",",,Q","  177",",,Q"
"ZI000067865","1952-01-22","-18.933","29.833","1215.0","KWEKWE, ZI","  244",",,Q","  178",",,Q"
"ZI000067865","1952-01-23","-18.933","29.833","1215.0","KWEKWE, ZI","  278",",,Q","  184",",,Q"
"ZI000067865","1952-01-24","-18.933","29.833","1215.0","KWEKWE, ZI","  281",",,Q","  194",",,Q"
"ZI000067865","1952-01-25","-18.933","29.833","1215.0","KWEKWE, ZI","  267",",,Q","  189",",,Q"
"ZI000067865","1952-01-26","-18.933","29.833","1215.0","KWEKWE, ZI","  275",",,Q","  189",",,Q"
"ZI000067865","1952-01-27","-18.933","29.833","1215.0","KWEKWE, ZI","  294",",,Q","  172",",,Q"
"ZI000067865","1952-01-28","-18.933","29.833","1215.0","KWEKWE, ZI","  288",",,Q","  178",",,Q"
"ZI000067865","1952-01-29","-18.933","29.833","1215.0","KWEKWE, ZI","  267",",,Q","  187",",,Q"
"ZI000067865","1952-01-30","-18.933","29.833","1215.0","KWEKWE, ZI","  274",",,Q","  186",",,Q"
"ZI000067865","1952-01-31","-18.933","29.833","1215.0","KWEKWE, ZI","  273",",,Q","  191",",,Q"
"ZI000067865","1952-02-01","-18.933","29.833","1215.0","KWEKWE, ZI","  253",",,Q","  188",",,Q"
"ZI000067865","1952-02-02","-18.933","29.833","1215.0","KWEKWE, ZI","  239",",,Q","  175",",,Q"
"ZI000067865","1952-02-03","-18.933","29.833","1215.0","KWEKWE, ZI","  241",",,Q","  172",",,Q"
"ZI000067865","1952-02-04","-18.933","29.833","1215.0","KWEKWE, ZI","  226",",,Q","  171",",,Q"
"ZI000067865","1952-02-05","-18.933","29.833","1215.0","KWEKWE, ZI","  247",",,Q","  150",",,Q"
"ZI000067865","1952-02-06","-18.933","29.833","1215.0","KWEKWE, ZI","  242",",,Q","  138",",,Q"
"ZI000067865","1952-02-07","-18.933","29.833","1215.0","KWEKWE, ZI","  271",",,Q","  166",",,Q"
"ZI000067865","1952-02-08","-18.933","29.833","1215.0","KWEKWE, ZI","  284",",,Q","  182",",,Q"
"ZI000067865","1952-02-09","-18.933","29.833","1215.0","KWEKWE, ZI","  273",",,Q","  185",",,Q"
"ZI000067865","1952-02-10","-18.933","29.833","1215.0","KWEKWE, ZI","  253",",,Q","  172",",,Q"
"ZI000067865","1952-02-11","-18.933","29.833","1215.0","KWEKWE, ZI","  279",",,Q","  178",",,Q"
"ZI000067865","1952-02-12","-18.933","29.833","1215.0","KWEKWE, ZI","  287",",,Q","  182",",,Q"
"ZI000067865","1952-02-13","-18.933","29.833","1215.0","KWEKWE, ZI","  275",",,Q","  181",",,Q"
"ZI000067865","1952-02-14","-18.933","29.833","1215.0","KWEKWE, ZI","  274",",,Q","  184",",,Q"
"ZI000067865","1952-02-15","-18.933","29.833","1215.0","KWEKWE, ZI","  263",",,Q","  172",",,Q"
