TMAX,TMIN,PRCP,SNWD,DATE,STATION
,  -90,,,1977-11-09,AF000040930
   20,  -60,,,1977-11-10,AF000040930
    0,,,,1977-11-12,AF000040930
  -20,,,,1977-11-19,AF000040930
  -10,,,,1977-11-21,AF000040930
   10,,,,1977-11-22,AF000040930
,  -70,,,1977-11-23,AF000040930
    0,,,,1977-11-25,AF000040930
,,,,1977-11-26,AF000040930
, -120,,,1977-11-27,AF000040930
   70,,,,1977-11-28,AF000040930
,,,,1977-11-30,AF000040930
,  -90,,,1977-12-01,AF000040930
  -10,  -70,,,1977-12-02,AF000040930
,  -80,,,1977-12-03,AF000040930
,,,,1977-12-05,AF000040930
,  -80,,,1977-12-06,AF000040930
,  -70,,,1977-12-07,AF000040930
   20,  -70,,,1977-12-08,AF000040930
,,,,1977-12-09,AF000040930
,,,,1977-12-11,AF000040930
, -130,,,1977-12-12,AF000040930
  -20,,,,1977-12-13,AF000040930
,,,,1977-12-14,AF000040930
,,,,1977-12-15,AF000040930
   30,  -50,,,1977-12-16,AF000040930
,  -50,,,1977-12-17,AF000040930
,,,,1977-12-18,AF000040930
  -20, -130,,,1977-12-19,AF000040930
  -60, -140,,,1977-12-20,AF000040930
,,,,1977-12-21,AF000040930
  -70,,,,1977-12-22,AF000040930
,  -80,,,1977-12-23,AF000040930
  -60,,,,1977-12-24,AF000040930
,,,,1977-12-25,AF000040930
 -100,,,,1977-12-26,AF000040930
 -100,,,,1977-12-27,AF000040930
  -30,,,,1977-12-28,AF000040930
  -60,,,,1977-12-29,AF000040930
  -80,,,,1977-12-31,AF000040930
  -90, -170,,,1978-01-01,AF000040930
  -90,,,,1978-01-02,AF000040930
,,,,1978-01-03,AF000040930
  -60,,,,1978-01-04,AF000040930
,,,,1978-01-05,AF000040930
,,,,1978-01-06,AF000040930
,,,,1978-01-07,AF000040930
,,,,1978-01-08,AF000040930
, -160,,,1978-01-09,AF000040930
, -100,,,1978-01-10,AF000040930
  -50,  -90,,,1978-01-12,AF000040930
,,,,1978-01-13,AF000040930
, -260,,,1978-01-14,AF000040930
,,,,1978-01-15,AF000040930
,,,,1978-01-18,AF000040930
, -120,,,1978-01-20,AF000040930
  -50,,,,1978-01-21,AF000040930
,,,,1978-01-22,AF000040930
 -100,,,,1978-01-23,AF000040930
 -100,,,,1978-01-24,AF000040930
  -90,,,,1978-01-25,AF000040930
  -90,,,,1978-01-26,AF000040930
 -100,,,,1978-01-27,AF000040930
  -90,,,,1978-01-28,AF000040930
, -200,,,1978-01-29,AF000040930
,,,,1978-01-30,AF000040930
,,,,1978-01-31,AF000040930
  -80,,,,1978-02-02,AF000040930
, -120,,,1978-02-03,AF000040930
 -110,,,,1978-02-05,AF000040930
 -110,,,,1978-02-06,AF000040930
, -240,,,1978-02-07,AF000040930
 -100,,,,1978-02-09,AF000040930
  -80, -130,,,1978-02-10,AF000040930
, -110,,,1978-02-11,AF000040930
  -70,,,,1978-02-12,AF000040930
  -60,  -90,,,1978-02-13,AF000040930
  -70,,,,1978-02-14,AF000040930
 -100, -170,,,1978-02-15,AF000040930
  -90, -210,,,1978-02-16,AF000040930
  -60, -160,,,1978-02-17,AF000040930
  -40, -130,,,1978-02-18,AF000040930
  -60, -140,,,1978-02-19,AF000040930
, -130,,,1978-02-20,AF000040930
  -10,  -90,,,1978-02-21,AF000040930
  -30, -110,,,1978-02-22,AF000040930
  -30,  -80,,,1978-02-23,AF000040930
  -30,  -70,,,1978-02-24,AF000040930
,  -60,,,1978-02-25,AF000040930
    0,,,,1978-02-26,AF000040930
  -30,,,,1978-02-27,AF000040930
  -50,  -70,,,1978-02-28,AF000040930
  -30, -110,,,1978-03-02,AF000040930
, -110,,,1978-03-03,AF000040930
  -30, -120,,,1978-03-04,AF000040930
,,,,1978-03-05,AF000040930
, -170,,,1978-03-06,AF000040930
,  -80,,,1978-03-07,AF000040930
  -40,,,,1978-03-09,AF000040930
  -40, -150,,,1978-03-10,AF000040930
, -160,,,1978-03-11,AF000040930
, -130,,,1978-03-12,AF000040930
