TMAX,TMIN,PRCP,DATE,STATION
  300,  139,    0,1979-05-17,MXN00032112
  300,  128,    0,1979-05-18,MXN00032112
  289,  128,    0,1979-05-19,MXN00032112
  283,  117,    0,1979-05-20,MXN00032112
  289,  122,    0,1979-05-21,MXN00032112
  300,  106,    0,1979-05-22,MXN00032112
  300,  128,    0,1979-05-23,MXN00032112
  300,  128,    0,1979-05-24,MXN00032112
  278,  117,    0,1979-05-25,MXN00032112
  300,  117,    0,1979-05-26,MXN00032112
  300,  128,    0,1979-05-27,MXN00032112
  306,  139,    0,1979-05-28,MXN00032112
  300,  128,    0,1979-05-29,MXN00032112
  317,  128,    0,1979-05-30,MXN00032112
  300,  117,    0,1979-05-31,MXN00032112
  300,  122,    0,1979-06-01,MXN00032112
  311,  117,    0,1979-06-02,MXN00032112
  300,  128,   48,1979-06-03,MXN00032112
  300,  111,   30,1979-06-04,MXN00032112
  306,  100,    0,1979-06-05,MXN00032112
  294,  122,    0,1979-06-06,MXN00032112
  300,  100,    0,1979-06-07,MXN00032112
  322,  128,    0,1979-06-08,MXN00032112
  300,  139,   58,1979-06-09,MXN00032112
  311,  133,    0,1979-06-10,MXN00032112
  289,  133,    0,1979-06-11,MXN00032112
  317,  117,    0,1979-06-12,MXN00032112
  300,  133,    0,1979-06-13,MXN00032112
  272,  122,    0,1979-06-14,MXN00032112
  294,  100,    0,1979-06-15,MXN00032112
  272,  111,    3,1979-06-16,MXN00032112
  289,  100,    0,1979-06-17,MXN00032112
  267,  111,    0,1979-06-18,MXN00032112
  306,  117,    0,1979-06-19,MXN00032112
  300,  133,  127,1979-06-20,MXN00032112
  300,  128,    0,1979-06-21,MXN00032112
  294,  122,    0,1979-06-22,MXN00032112
  300,  106,    0,1979-06-23,MXN00032112
  311,  117,  122,1979-06-24,MXN00032112
  333,  128,    0,1979-06-25,MXN00032112
  328,  150,   30,1979-06-26,MXN00032112
  267,  144,  295,1979-06-27,MXN00032112
  267,  139,    8,1979-06-28,MXN00032112
  278,  128,    0,1979-06-29,MXN00032112
  272,  122,    0,1979-06-30,MXN00032112
  294,  150,  147,1979-07-01,MXN00032112
  322,  139,    0,1979-07-02,MXN00032112
  300,  150,    3,1979-07-03,MXN00032112
  300,  139,  198,1979-07-04,MXN00032112
  317,  150,   33,1979-07-05,MXN00032112
  278,  150,  150,1979-07-06,MXN00032112
  272,  133,    8,1979-07-07,MXN00032112
  317,  122,  208,1979-07-08,MXN00032112
  300,  139,    0,1979-07-09,MXN00032112
  272,  128,   43,1979-07-10,MXN00032112
  294,  117,  213,1979-07-11,MXN00032112
  272,  128,   38,1979-07-12,MXN00032112
  267,  111,   33,1979-07-13,MXN00032112
  278,  128,   15,1979-07-14,MXN00032112
  267,  133,   71,1979-07-15,MXN00032112
  283,  139,    0,1979-07-16,MXN00032112
  294,  144,  193,1979-07-17,MXN00032112
  300,  128,   18,1979-07-18,MXN00032112
  267,  139,   69,1979-07-19,MXN00032112
  256,  128,    5,1979-07-20,MXN00032112
  272,  100,    0,1979-07-21,MXN00032112
  278,  117,   51,1979-07-22,MXN00032112
  289,  133,   84,1979-07-23,MXN00032112
  267,  139,    0,1979-07-24,MXN00032112
  261,  128,  318,1979-07-25,MXN00032112
  278,  117,   56,1979-07-26,MXN00032112
  267,  133,  249,1979-07-27,MXN00032112
  250,  139,  142,1979-07-28,MXN00032112
  267,  100,   18,1979-07-29,MXN00032112
  272,  122,    0,1979-07-30,MXN00032112
  256,  128,  516,1979-07-31,MXN00032112
  217,  128,   56,1979-08-01,MXN00032112
  250,  128,   10,1979-08-02,MXN00032112
  256,  122,   97,1979-08-03,MXN00032112
  267,  139,  295,1979-08-04,MXN00032112
  261,  144,    0,1979-08-05,MXN00032112
  256,  133,   18,1979-08-06,MXN00032112
  267,  117,    0,1979-08-07,MXN00032112
  256,  144,  259,1979-08-08,MXN00032112
  261,  128,    0,1979-08-09,MXN00032112
  250,  117,  284,1979-08-10,MXN00032112
  233,  106,   36,1979-08-11,MXN00032112
  250,  100,   58,1979-08-12,MXN00032112
  250,  122,  193,1979-08-13,MXN00032112
  256,  139,   64,1979-08-14,MXN00032112
  250,  128,  122,1979-08-15,MXN00032112
  261,  117,    0,1979-08-16,MXN00032112
  239,  133,   20,1979-08-17,MXN00032112
  250,  106,   28,1979-08-18,MXN00032112
  256,  117,    3,1979-08-19,MXN00032112
  267,  111,    0,1979-08-20,MXN00032112
  267,  133,    8,1979-08-21,MXN00032112
  256,  139,  119,1979-08-22,MXN00032112
  256,  100,  224,1979-08-23,MXN00032112
  261,  106,    0,1979-08-24,MXN00032112
  250,  117,    0,1979-08-25,MXN00032112
  256,  106,    0,1979-08-26,MXN00032112
  261,  122,   28,1979-08-27,MXN00032112
