TMAX,TMIN,DATE,STATION
  308,  198,1952-12-10,ZI000067865
  253,  177,1952-12-11,ZI000067865
  290,  153,1952-12-12,ZI000067865
  276,  176,1952-12-13,ZI000067865
  207,  177,1952-12-14,ZI000067865
  258,  177,1952-12-15,ZI000067865
  268,  179,1952-12-16,ZI000067865
  273,  173,1952-12-17,ZI000067865
  291,  181,1952-12-18,ZI000067865
  284,  170,1952-12-19,ZI000067865
  243,  171,1952-12-20,ZI000067865
  259,  146,1952-12-21,ZI000067865
  274,  108,1952-12-22,ZI000067865
  287,  114,1952-12-23,ZI000067865
  299,  139,1952-12-24,ZI000067865
  301,  167,1952-12-25,ZI000067865
  308,  164,1952-12-26,ZI000067865
  307,  165,1952-12-27,ZI000067865
  307,  161,1952-12-28,ZI000067865
  322,  182,1952-12-29,ZI000067865
  284,  172,1952-12-30,ZI000067865
  278,  184,1952-12-31,ZI000067865
  279,  188,1953-01-01,ZI000067865
  276,  197,1953-01-02,ZI000067865
  273,  178,1953-01-03,ZI000067865
  278,  194,1953-01-04,ZI000067865
  249,  176,1953-01-05,ZI000067865
  270,  180,1953-01-06,ZI000067865
  255,  179,1953-01-07,ZI000067865
  273,  177,1953-01-08,ZI000067865
  256,  189,1953-01-09,ZI000067865
  257,  188,1953-01-10,ZI000067865
  216,  178,1953-01-11,ZI000067865
  197,  183,1953-01-12,ZI000067865
  243,  172,1953-01-13,ZI000067865
  251,  180,1953-01-14,ZI000067865
  268,  169,1953-01-15,ZI000067865
  278,  152,1953-01-16,ZI000067865
  262,  162,1953-01-17,ZI000067865
  278,  152,1953-01-18,ZI000067865
  300,  134,1953-01-19,ZI000067865
  308,  173,1953-01-20,ZI000067865
  271,  177,1953-01-21,ZI000067865
  272,  173,1953-01-22,ZI000067865
  283,  173,1953-01-23,ZI000067865
  264,  178,1953-01-24,ZI000067865
  260,  181,1953-01-25,ZI000067865
  280,  178,1953-01-26,ZI000067865
  274,  179,1953-01-27,ZI000067865
  243,  183,1953-01-28,ZI000067865
  266,  167,1953-01-29,ZI000067865
  279,  182,1953-01-30,ZI000067865
  282,  181,1953-01-31,ZI000067865
  261,  178,1953-02-01,ZI000067865
  254,  186,1953-02-02,ZI000067865
  272,  183,1953-02-03,ZI000067865
  235,  192,1953-02-04,ZI000067865
  246,  167,1953-02-05,ZI000067865
  265,  172,1953-02-06,ZI000067865
  289,  176,1953-02-07,ZI000067865
  281,  194,1953-02-08,ZI000067865
  272,  185,1953-02-09,ZI000067865
  269,  179,1953-02-10,ZI000067865
  266,  176,1953-02-11,ZI000067865
  268,  178,1953-02-12,ZI000067865
  273,  177,1953-02-13,ZI000067865
  281,  173,1953-02-14,ZI000067865
  278,  185,1953-02-15,ZI000067865
  257,  172,1953-02-16,ZI000067865
  269,  169,1953-02-17,ZI000067865
  272,  164,1953-02-18,ZI000067865
  283,  164,1953-02-19,ZI000067865
  299,  182,1953-02-20,ZI000067865
  294,  183,1953-02-21,ZI000067865
  273,  165,1953-02-22,ZI000067865
  268,  137,1953-02-23,ZI000067865
  283,  157,1953-02-24,ZI000067865
  292,  163,1953-02-25,ZI000067865
  269,  188,1953-02-26,ZI000067865
  279,  152,1953-02-27,ZI000067865
  287,  173,1953-02-28,ZI000067865
  264,  172,1953-03-01,ZI000067865
  258,  172,1953-03-02,ZI000067865
  256,  183,1953-03-03,ZI000067865
  189,  161,1953-03-04,ZI000067865
  173,  142,1953-03-05,ZI000067865
  197,  133,1953-03-06,ZI000067865
  243,  118,1953-03-07,ZI000067865
  223,  149,1953-03-08,ZI000067865
  250,  138,1953-03-09,ZI000067865
  267,  142,1953-03-10,ZI000067865
  271,  130,1953-03-11,ZI000067865
  273,  145,1953-03-12,ZI000067865
  269,  130,1953-03-13,ZI000067865
  279,  131,1953-03-14,ZI000067865
  266,  168,1953-03-15,ZI000067865
  259,  146,1953-03-16,ZI000067865
  281,  168,1953-03-17,ZI000067865
  278,  157,1953-03-18,ZI000067865
  262,  172,1953-03-19,ZI000067865
  273,  166,1953-03-20,ZI000067865
  237,  166,1953-03-21,ZI000067865
  273,  176,1953-03-22,ZI000067865
  288,  186,1953-03-23,ZI000067865
  297,  169,1953-03-24,ZI000067865
  266,  164,1953-03-25,ZI000067865
  281,  122,1953-03-26,ZI000067865
  271,  134,1953-03-27,ZI000067865
  284,  151,1953-03-28,ZI000067865
  290,  152,1953-03-29,ZI000067865
  284,  144,1953-03-30,ZI000067865
  267,  144,1953-03-31,ZI000067865
  260,  151,1953-04-01,ZI000067865
  277,  171,1953-04-02,ZI000067865
  277,  167,1953-04-03,ZI000067865
  269,  180,1953-04-04,ZI000067865
  255,  141,1953-04-05,ZI000067865
  272,  133,1953-04-06,ZI000067865
  274,  141,1953-04-07,ZI000067865
  287,  122,1953-04-08,ZI000067865
  289,  136,1953-04-09,ZI000067865
  289,  144,1953-04-10,ZI000067865
  211,  166,1953-04-11,ZI000067865
  284,  158,1953-04-12,ZI000067865
  289,  168,1953-04-13,ZI000067865
  267,  171,1953-04-14,ZI000067865
  277,  161,1953-04-15,ZI000067865
  279,  139,1953-04-16,ZI000067865
  278,  123,1953-04-17,ZI000067865
  289,  129,1953-04-18,ZI000067865
  296,  140,1953-04-19,ZI000067865
  249,  152,1953-04-20,ZI000067865
  229,  146,1953-04-21,ZI000067865
  261,  108,1953-04-22,ZI000067865
  256,  106,1953-04-23,ZI000067865
  268,   96,1953-04-24,ZI000067865
  254,   97,1953-04-25,ZI000067865
  256,   92,1953-04-26,ZI000067865
  251,  106,1953-04-27,ZI000067865
  240,  118,1953-04-28,ZI000067865
  234,  101,1953-04-29,ZI000067865
  253,  104,1953-04-30,ZI000067865
  261,   77,1953-05-01,ZI000067865
  263,   87,1953-05-02,ZI000067865
  259,   72,1953-05-03,ZI000067865
  239,  100,1953-05-04,ZI000067865
  249,   82,1953-05-05,ZI000067865
  238,   84,1953-05-06,ZI000067865
  216,  129,1953-05-07,ZI000067865
  226,   91,1953-05-08,ZI000067865
  228,   72,1953-05-09,ZI000067865
  222,   98,1953-05-10,ZI000067865
  216,   86,1953-05-11,ZI000067865
  233,  130,1953-05-12,ZI000067865
  255,  115,1953-05-13,ZI000067865
  258,  118,1953-05-14,ZI000067865
  249,  119,1953-05-15,ZI000067865
  252,  122,1953-05-16,ZI000067865
  267,  110,1953-05-17,ZI000067865
  268,  123,1953-05-18,ZI000067865
  274,  110,1953-05-19,ZI000067865
  271,  112,1953-05-20,ZI000067865
  273,   72,1953-05-21,ZI000067865
  242,  135,1953-05-22,ZI000067865
  217,   99,1953-05-23,ZI000067865
  209,   70,1953-05-24,ZI000067865
  226,   71,1953-05-25,ZI000067865
  246,   35,1953-05-26,ZI000067865
