PRCP,SNOW,DATE,STATION
    0,    0,2020-09-19,US1KYSH0012
    0,    0,2020-09-20,US1KYSH0012
    0,    0,2020-09-21,US1KYSH0012
    0,    0,2020-09-22,US1KYSH0012
    0,    0,2020-09-23,US1KYSH0012
    0,    0,2020-09-24,US1KYSH0012
    0,,2020-09-25,US1KYSH0012
    0,    0,2020-09-26,US1KYSH0012
    0,    0,2020-09-27,US1KYSH0012
    0,    0,2020-09-28,US1KYSH0012
   84,,2020-09-29,US1KYSH0012
   69,,2020-09-30,US1KYSH0012
,,2021-05-05,US1KYSH0012
    0,    0,2021-05-06,US1KYSH0012
    0,    0,2021-05-07,US1KYSH0012
  145,,2021-06-19,US1KYSH0012
    0,    0,2021-06-21,US1KYSH0012
  114,,2021-06-22,US1KYSH0012
    0,    0,2021-06-23,US1KYSH0012
    0,    0,2021-06-24,US1KYSH0012
    0,    0,2021-06-25,US1KYSH0012
    0,    0,2021-06-26,US1KYSH0012
    0,    0,2021-06-27,US1KYSH0012
    0,    0,2021-06-28,US1KYSH0012
    0,    0,2021-06-29,US1KYSH0012
    0,    0,2021-06-30,US1KYSH0012
  109,,2021-07-01,US1KYSH0012
,,2021-07-03,US1KYSH0012
    0,    0,2021-07-04,US1KYSH0012
    0,    0,2021-07-05,US1KYSH0012
    0,    0,2021-07-06,US1KYSH0012
  114,,2021-07-07,US1KYSH0012
   25,,2021-07-08,US1KYSH0012
  264,,2021-07-09,US1KYSH0012
,,2021-07-11,US1KYSH0012
   51,,2021-07-12,US1KYSH0012
    3,,2021-07-13,US1KYSH0012
   51,,2021-07-14,US1KYSH0012
    0,    0,2021-07-15,US1KYSH0012
    0,    0,2021-07-16,US1KYSH0012
  310,,2021-07-17,US1KYSH0012
   28,,2021-07-18,US1KYSH0012
    0,    0,2021-07-19,US1KYSH0012
    0,    0,2021-07-20,US1KYSH0012
    0,    0,2021-07-21,US1KYSH0012
    0,    0,2021-07-22,US1KYSH0012
    0,    0,2021-07-23,US1KYSH0012
    0,    0,2021-07-24,US1KYSH0012
    0,    0,2021-07-25,US1KYSH0012
    0,    0,2021-07-26,US1KYSH0012
    0,    0,2021-07-27,US1KYSH0012
    0,    0,2021-07-28,US1KYSH0012
    0,    0,2021-07-29,US1KYSH0012
   41,,2021-07-30,US1KYSH0012
    0,    0,2021-07-31,US1KYSH0012
    5,,2021-08-01,US1KYSH0012
    0,    0,2021-08-02,US1KYSH0012
    0,    0,2021-08-03,US1KYSH0012
    0,    0,2021-08-04,US1KYSH0012
    0,    0,2021-08-05,US1KYSH0012
    0,    0,2021-08-06,US1KYSH0012
    0,    0,2021-08-07,US1KYSH0012
