PRCP,SNOW,SNWD,DATE,STATION
    0,    0,,2011-08-29,US1KYSM0002
    0,    0,,2011-08-30,US1KYSM0002
    0,    0,,2011-08-31,US1KYSM0002
    0,    0,,2011-09-01,US1KYSM0002
    0,    0,,2011-09-02,US1KYSM0002
    0,    0,,2011-09-03,US1KYSM0002
   58,,,2011-09-04,US1KYSM0002
  622,,,2011-09-05,US1KYSM0002
  368,,,2011-09-06,US1KYSM0002
   18,,,2011-09-07,US1KYSM0002
    0,    0,,2011-09-08,US1KYSM0002
    8,,,2011-09-09,US1KYSM0002
    0,    0,,2011-09-10,US1KYSM0002
   38,,,2011-09-11,US1KYSM0002
    5,,,2011-09-12,US1KYSM0002
    0,    0,,2011-09-13,US1KYSM0002
    0,    0,,2011-09-14,US1KYSM0002
  206,,,2011-09-15,US1KYSM0002
    0,    0,,2011-09-16,US1KYSM0002
    3,,,2011-09-17,US1KYSM0002
    0,    0,,2011-09-18,US1KYSM0002
   91,,,2011-09-19,US1KYSM0002
   36,,,2011-09-20,US1KYSM0002
   15,,,2011-09-21,US1KYSM0002
    3,,,2011-09-22,US1KYSM0002
   46,,,2011-09-23,US1KYSM0002
    0,    0,,2011-09-24,US1KYSM0002
   13,,,2011-09-25,US1KYSM0002
  216,,,2011-09-26,US1KYSM0002
    0,    0,,2011-09-27,US1KYSM0002
    0,    0,,2011-09-28,US1KYSM0002
    0,    0,,2011-09-29,US1KYSM0002
    0,    0,,2011-09-30,US1KYSM0002
    0,    0,,2011-10-01,US1KYSM0002
    0,    0,,2011-10-02,US1KYSM0002
    0,    0,,2011-10-03,US1KYSM0002
    0,    0,,2011-10-04,US1KYSM0002
    0,    0,,2011-10-05,US1KYSM0002
    0,    0,,2011-10-06,US1KYSM0002
    0,    0,,2011-10-07,US1KYSM0002
    0,    0,,2011-10-08,US1KYSM0002
    0,    0,,2011-10-09,US1KYSM0002
    0,    0,,2011-10-10,US1KYSM0002
    0,    0,,2011-10-11,US1KYSM0002
    0,    0,,2011-10-12,US1KYSM0002
   69,,,2011-10-13,US1KYSM0002
    0,    0,,2011-10-14,US1KYSM0002
    0,    0,,2011-10-15,US1KYSM0002
    0,    0,,2011-10-16,US1KYSM0002
    0,    0,,2011-10-17,US1KYSM0002
    0,    0,,2011-10-18,US1KYSM0002
   43,,,2011-10-19,US1KYSM0002
   30,    0,,2011-10-20,US1KYSM0002
    0,    0,,2011-10-21,US1KYSM0002
    0,    0,,2011-10-22,US1KYSM0002
    0,    0,,2011-10-23,US1KYSM0002
    0,    0,,2011-10-24,US1KYSM0002
    0,    0,,2011-10-25,US1KYSM0002
    0,    0,,2011-10-26,US1KYSM0002
   89,,,2011-10-27,US1KYSM0002
   76,,,2011-10-28,US1KYSM0002
    0,    0,,2011-10-29,US1KYSM0002
    0,    0,,2011-10-30,US1KYSM0002
    0,    0,,2011-10-31,US1KYSM0002
    0,    0,,2011-11-01,US1KYSM0002
    0,    0,,2011-11-02,US1KYSM0002
,,,2011-11-04,US1KYSM0002
    0,    0,,2011-11-05,US1KYSM0002
    0,    0,,2011-11-06,US1KYSM0002
    0,    0,,2011-11-07,US1KYSM0002
    0,    0,,2011-11-08,US1KYSM0002
    0,    0,,2011-11-09,US1KYSM0002
    8,    0,,2011-11-10,US1KYSM0002
    0,    0,,2011-11-11,US1KYSM0002
    0,    0,,2011-11-12,US1KYSM0002
    0,    0,,2011-11-13,US1KYSM0002
    0,    0,,2011-11-14,US1KYSM0002
   51,,,2011-11-15,US1KYSM0002
,,,2011-11-17,US1KYSM0002
    0,    0,,2011-11-18,US1KYSM0002
    0,    0,,2011-11-19,US1KYSM0002
  150,,,2011-11-20,US1KYSM0002
,,,2011-11-22,US1KYSM0002
   10,,,2011-11-23,US1KYSM0002
    0,    0,,2011-11-24,US1KYSM0002
    0,    0,,2011-11-25,US1KYSM0002
    0,    0,,2011-11-26,US1KYSM0002
    0,    0,,2011-11-27,US1KYSM0002
,,,2011-11-29,US1KYSM0002
    0,    0,,2011-11-30,US1KYSM0002
    0,    0,,2011-12-01,US1KYSM0002
    0,    0,,2011-12-02,US1KYSM0002
    0,    0,,2011-12-03,US1KYSM0002
    0,    0,,2011-12-04,US1KYSM0002
,,,2011-12-06,US1KYSM0002
    0,    0,,2011-12-07,US1KYSM0002
    0,    0,,2011-12-08,US1KYSM0002
    0,    0,,2011-12-09,US1KYSM0002
    0,    0,,2011-12-10,US1KYSM0002
    0,    0,,2011-12-11,US1KYSM0002
    0,    0,,2011-12-12,US1KYSM0002
    0,    0,,2011-12-13,US1KYSM0002
    0,    0,,2011-12-14,US1KYSM0002
    0,    0,,2011-12-15,US1KYSM0002
,,,2011-12-17,US1KYSM0002
    0,    0,,2011-12-18,US1KYSM0002
    0,    0,,2011-12-19,US1KYSM0002
    0,    0,,2011-12-20,US1KYSM0002
   56,,,2011-12-21,US1KYSM0002
    0,    0,,2011-12-22,US1KYSM0002
  119,,,2011-12-23,US1KYSM0002
    0,    0,,2011-12-24,US1KYSM0002
    0,    0,,2011-12-25,US1KYSM0002
    0,    0,,2011-12-26,US1KYSM0002
,,,2011-12-28,US1KYSM0002
